GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,CAMEOCodeDescription,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
753911856,20180508,201805,2018,2018.3507,CHN,CHINESE,CHN,,,,,,,,,,,,,,,,,,1,071, Provide economic aid,071,07,2,7.4,10,1,10,-0.46728971962616994,4,"Freetown, Western Area, Sierra Leone",SL,SL04,111381,8.49,-13.2342,-1315606,0,,,,,,,,4,"Freetown, Western Area, Sierra Leone",SL,SL04,111381,8.49,-13.2342,-1315606,20180508001500,http://cocorioko.net/freetown-faces-air-pollution-and-environmental-hazards-from-burning-and-stacked-trash-after-national-cleaning-exercise/
753911857,20180508,201805,2018,2018.3507,CHN,CHINA,CHN,,,,,,,,,,,,,,,,,,1,071, Provide economic aid,071,07,2,7.4,10,1,10,-0.73421439060205,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.38799999999999,-1898541,0,,,,,,,,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.38799999999999,-1898541,20180508001500,http://www.newtimes.co.rw/opinions/china-wont-wait
753911858,20180508,201805,2018,2018.3507,CHN,CHINA,CHN,,,,,,,,,,,,,,,,,,1,100," Demand, not specified below",100,10,3,-5.0,2,1,2,-8.18181818181819,1,China,CH,CH,,35.0,105.0,CH,0,,,,,,,,1,China,CH,CH,,35.0,105.0,CH,20180508001500,http://cltv.com/2018/05/07/my-condolences-for-your-little-squinty-eyes-police-arrest-drunk-driver-who-makes-racial-slur-at-cop/
753911859,20180508,201805,2018,2018.3507,CHN,CHINA,CHN,,,,,,,,CHNBUS,CHINA,CHN,,,,,BUS,,,0,120," Reject, not specified below",120,12,3,-4.0,4,1,4,-5.05871725383921,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,20180508001500,https://www.jdsupra.com/legalnews/do-shareholders-need-to-make-a-demand-91144/
753911860,20180508,201805,2018,2018.3507,CHN,CHINESE,CHN,,,,,,,,CHNGOV,CHINA,CHN,,,,,GOV,,,1,036, Express intent to meet or negotiate,036,03,1,4.0,2,1,2,-0.9090909090909051,4,"Bangchuidao, Liaoning, China",CH,CH19,13327,38.8833,121.7,-1897918,4,"Bangchuidao, Liaoning, China",CH,CH19,13327,38.8833,121.7,-1897918,4,"Bangchuidao, Liaoning, China",CH,CH19,13327,38.8833,121.7,-1897918,20180508001500,http://world.kbs.co.kr/english/./news/news_In_detail.htm?No=136026&id=In
753911861,20180508,201805,2018,2018.3507,CHN,CHINA,CHN,,,,,,,,DEU,GERMANY,DEU,,,,,,,,1,057, Sign formal agreement,057,05,1,8.0,42,7,42,-1.1380405035577401,1,China,CH,CH,,35.0,105.0,CH,1,Germany,GM,GM,,51.5,10.5,GM,1,Germany,GM,GM,,51.5,10.5,GM,20180508001500,https://www.firstcoastnews.com/article/news/nation-now/rouhani-says-iran-nuke-deal-could-survive-without-us-trump-rips-shadow-diplomacy/465-321b4091-a7a9-4aa1-b7d7-49ac83ae4339
753911862,20180508,201805,2018,2018.3507,CHN,CHINA,CHN,,,,,,,,DEU,GERMANY,DEU,,,,,,,,1,057, Sign formal agreement,057,05,1,8.0,14,7,14,-1.1380405035577401,1,France,FR,FR,,46.0,2.0,FR,1,China,CH,CH,,35.0,105.0,CH,1,Germany,GM,GM,,51.5,10.5,GM,20180508001500,https://www.firstcoastnews.com/article/news/nation-now/rouhani-says-iran-nuke-deal-could-survive-without-us-trump-rips-shadow-diplomacy/465-321b4091-a7a9-4aa1-b7d7-49ac83ae4339
753911863,20180508,201805,2018,2018.3507,CHN,CHINA,CHN,,,,,,,,DEU,GERMANY,DEU,,,,,,,,1,057, Sign formal agreement,057,05,1,8.0,12,6,12,-1.2,1,United Kingdom,UK,UK,,54.0,-4.0,UK,1,United Kingdom,UK,UK,,54.0,-4.0,UK,1,Russia,RS,RS,,60.0,100.0,RS,20180508001500,https://www.firstcoastnews.com/article/news/nation-now/rouhani-says-iran-nuke-deal-could-survive-without-us-trump-rips-shadow-diplomacy/465-321b4091-a7a9-4aa1-b7d7-49ac83ae4339
753911864,20180508,201805,2018,2018.3507,CHN,CHINA,CHN,,,,,,,,DEU,GERMANY,DEU,,,,,,,,1,057, Sign formal agreement,057,05,1,8.0,2,1,2,-0.7662835249042099,1,United States,US,US,,39.828175,-98.5795,US,1,United Kingdom,UK,UK,,54.0,-4.0,UK,1,United Kingdom,UK,UK,,54.0,-4.0,UK,20180508001500,https://www.11alive.com/article/news/nation-now/rouhani-says-iran-nuke-deal-could-survive-without-us-trump-rips-shadow-diplomacy/465-321b4091-a7a9-4aa1-b7d7-49ac83ae4339
753911865,20180508,201805,2018,2018.3507,CHN,CHINA,CHN,,,,,,,,GOV,ADMINISTRATION,,,,,,GOV,,,0,020," Appeal, not specified below",020,02,1,3.0,6,1,6,-3.0844155844155896,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.38799999999999,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.38799999999999,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.38799999999999,-1898541,20180508001500,http://english.chosun.com/site/data/html_dir/2018/05/08/2018050800390.html
753911866,20180508,201805,2018,2018.3507,CHN,CHINA,CHN,,,,,,,,GOV,ADMINISTRATION,,,,,,GOV,,,0,112," Accuse, not specified below",112,11,3,-2.0,6,1,6,-3.0844155844155896,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.38799999999999,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.38799999999999,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.38799999999999,-1898541,20180508001500,http://english.chosun.com/site/data/html_dir/2018/05/08/2018050800390.html
753911867,20180508,201805,2018,2018.3507,CHN,CHINA,CHN,,,,,,,,IGOUNOGOV,UNITED NATIONS,,UNO,,,,IGO,GOV,,0,129,No Description returned for CAMEO code 129,129,12,3,-5.0,5,1,5,-3.65736284889317,1,North Korea,KN,KN,,40.0,127.0,KN,1,North Korea,KN,KN,,40.0,127.0,KN,1,North Korea,KN,KN,,40.0,127.0,KN,20180508001500,http://www.punchng.com/encouraging-rapprochement-in-korean-peninsula/
